X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1,plane_predicted_m,plane_residual_m
67926.6892219049,224205.003156649,16,P02,perimeter_tin,,3.75,111.595310448805,5.58770275115967,5.520289769029432,0.06741298213023761
67926.9216735582,224204.911144536,17,P02,perimeter_tin,,4.0,111.595310448805,5.58866834640503,5.51936228713771,0.06930605926732003
67927.1541252115,224204.819132423,18,P02,perimeter_tin,,4.25,111.595310448805,5.59040403366089,5.518434805245761,0.07196922841512876
67927.3865768647,224204.727120311,19,P02,perimeter_tin,,4.5,111.595310448805,5.58532428741455,5.517507323349946,0.0678169640646038
67927.6115563865,224204.619009742,20,P02,perimeter_tin,,4.75,118.20162821843,5.59083127975464,5.516699740356671,0.07413153939796846
67927.8318788922,224204.50086579,21,P02,perimeter_tin,,5.0,118.20162821843,5.58961534500122,5.5159668845067245,0.07364846049449536
67928.0522013979,224204.382721838,22,P02,perimeter_tin,,5.25,118.20162821843,5.59127759933472,5.515234028657233,0.07604357067748779
67928.2725239037,224204.264577885,23,P02,perimeter_tin,,5.5,118.20162821843,5.5841851234436,5.514501172811833,0.06968395063176658
67928.4928464094,224204.146433933,24,P02,perimeter_tin,,5.75,118.20162821843,5.58412551879883,5.5137683169623415,0.07035720183648841
67928.7131689151,224204.028289981,25,P02,perimeter_tin,,6.0,118.20162821843,5.58569431304932,5.51303546111285,0.07265885193647037
67928.9334914208,224203.910146028,26,P02,perimeter_tin,,6.25,118.20162821843,5.58434915542603,5.512302605267905,0.07204655015812467
67929.1538139265,224203.792002076,27,P02,perimeter_tin,,6.5,118.20162821843,5.57421016693115,5.511569749418413,0.06264041751273641
67929.3741364322,224203.673858124,28,P02,perimeter_tin,,6.75,118.20162821843,5.56303644180298,5.510836893568467,0.05219954823451367
67929.594458938,224203.555714171,29,P02,perimeter_tin,,7.0,118.20162821843,5.56160020828247,5.5101040377230674,0.051496170559402366
67929.8032946009,224203.418351268,30,P02,perimeter_tin,,7.25,123.530469667308,5.55111265182495,5.509529363611364,0.04158328821358648
67930.0116926475,224203.280256177,31,P02,perimeter_tin,,7.5,123.530469667308,5.5561990737915,5.5089607157783576,0.0472383580131428
67930.220090694,224203.142161086,32,P02,perimeter_tin,,7.75,123.530469667308,5.55806636810303,5.508392067945806,0.04967430015722396
67930.4284887406,224203.004065995,33,P02,perimeter_tin,,8.0,123.530469667308,5.5468544960022,5.5078234201128,0.039031075889400135
67930.6368867872,224202.865970904,34,P02,perimeter_tin,,8.25,123.530469667308,5.54921388626099,5.507254772280021,0.041959113980968965
67930.8452848337,224202.727875813,35,P02,perimeter_tin,,8.5,123.530469667308,5.53664970397949,5.506686124447469,0.029963579532021
67931.0546840543,224202.591306188,36,P02,perimeter_tin,,8.75,123.023867555904,5.52907705307007,5.506104397090667,0.022972655979403456
67931.2642949583,224202.4550591,37,P02,perimeter_tin,,9.0,123.023867555904,5.5259428024292,5.50551990426311,0.020422898166089887
67931.4739058624,224202.318812012,38,P02,perimeter_tin,,9.25,123.023867555904,5.52518224716187,5.504935411435326,0.02024683572654329
67931.6835167665,224202.182564925,39,P02,perimeter_tin,,9.5,123.023867555904,5.51616525650024,5.50435091860254,0.011814337897699367
67931.8931276705,224202.046317837,40,P02,perimeter_tin,,9.75,123.023867555904,5.50055027008057,5.503766425775211,-0.0032161556946412873
67932.1027385746,224201.910070749,41,P02,perimeter_tin,,10.0,123.023867555904,5.49294233322144,5.503181932946973,-0.010239599725532678
67932.3123494787,224201.773823662,42,P02,perimeter_tin,,10.25,123.023867555904,5.49619626998901,5.502597440114414,-0.0064011701254038655
67932.5219603828,224201.637576574,43,P02,perimeter_tin,,10.5,123.023867555904,5.49468898773193,5.502012947286175,-0.007323959554245363
67932.7315712868,224201.501329486,44,P02,perimeter_tin,,10.75,123.023867555904,5.50685501098633,5.501428454458619,0.005426556527710957
67932.9411821909,224201.365082399,45,P02,perimeter_tin,,11.0,123.023867555904,5.50724267959595,5.50084396162606,0.006398717969889667
67933.150793095,224201.228835311,46,P02,perimeter_tin,,11.25,123.023867555904,5.51085329055786,5.500259468798049,0.010593821759811384
67933.3578834533,224201.089611542,47,P02,perimeter_tin,,11.5,137.489552921879,5.50890970230103,5.499703821289131,0.009205881011898676
67933.5268146104,224200.905323006,48,P02,perimeter_tin,,11.75,137.489552921879,5.50887393951416,5.499584870673971,0.00928906884018943
67933.6957457676,224200.721034471,49,P02,perimeter_tin,,12.0,137.489552921879,5.52629852294922,5.499465920053581,0.026832602895638935
67933.8646769247,224200.536745936,50,P02,perimeter_tin,,12.25,137.489552921879,5.53768253326416,5.499346969433873,0.038335563830287356
67934.0336080819,224200.352457401,51,P02,perimeter_tin,,12.5,137.489552921879,5.55258369445801,5.499228018813255,0.053355675644754186
67934.202539239,224200.168168866,52,P02,perimeter_tin,,12.75,137.489552921879,5.57247829437256,5.4991090681935475,0.07336922617901287
