X,Y,fid,profile_id,section_id,orientation,notes,distance,angle,dsm_1,tin_1,height_1
67918.4484063956,224183.674263629,694,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.4000000000001,261.469234390053,14.9272651672363,5.70603036880493,9.22123527526855
67918.3495127603,224183.659429583,695,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.5000000000001,261.469234390053,14.938024520874,5.70768880844116,9.2303352355957
67918.250619125,224183.644595538,696,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.6000000000001,261.469234390053,14.8962354660034,5.70895147323608,9.18728446960449
67918.1517254897,224183.629761493,697,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.7000000000001,261.469234390053,14.8749027252197,5.71060991287231,9.16429328918457
67918.0528318545,224183.614927447,698,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.8000000000001,261.469234390053,14.9022083282471,5.71226835250854,9.18993949890137
67917.9539382192,224183.600093402,699,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.9000000000001,261.469234390053,14.8692493438721,5.71353101730347,9.15571784973145
67917.8550445839,224183.585259357,700,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.0000000000001,261.469234390053,14.9052515029907,5.7151894569397,9.19006156921387
67917.7561509486,224183.570425312,701,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.1000000000001,261.469234390053,14.9079208374023,5.71684789657593,9.19107246398926
67917.6572573133,224183.555591266,702,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.2000000000001,261.469234390053,14.8960475921631,5.71850633621216,9.17754173278809
67917.558363678,224183.540757221,703,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.3000000000001,261.469234390053,14.8818511962891,5.71976900100708,9.16208267211914
67917.4594700427,224183.525923176,704,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.4000000000001,261.469234390053,14.8743839263916,5.72142744064331,9.15295600891113
67917.3605764075,224183.51108913,705,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.5000000000001,261.469234390053,14.8554382324219,5.72403573989868,9.13140296936035
67917.2616827722,224183.496255085,706,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.6000000000001,261.469234390053,14.7982215881348,5.75852251052856,9.03969955444336
67917.1627891369,224183.48142104,707,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.7000000000001,261.469234390053,14.7653741836548,5.81005239486694,8.955322265625
67917.0638955016,224183.466586995,708,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.8000000000001,261.469234390053,14.7314682006836,5.84148550033569,8.88998222351074
67916.9650018663,224183.451752949,709,P02_CROSS,D-D',transverse,Broad cross-pile profile,28.9000000000001,261.469234390053,14.7043895721436,5.84728479385376,8.85710525512695
