fid,profile_id,orientation,notes,distance,angle,dsm_1,floor_1,height_1
136,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1.4,98.6187854441811,7.94280672073364,6.08073139190674,1.8620753288269
137,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1.5,98.6187854441811,7.98860120773315,6.08291673660278,1.90568447113037
138,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1.6,98.6187854441811,8.03006267547607,6.08500480651855,1.94505786895752
139,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1.7,98.6187854441811,8.09416007995605,6.08718967437744,2.00697040557861
140,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1.8,98.6187854441811,8.14373111724854,6.08937454223633,2.05435657501221
141,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1.9,98.6187854441811,8.19260692596436,6.09155988693237,2.10104703903198
142,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2,98.6187854441811,8.23766708374023,6.09364795684814,2.14401912689209
143,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2.1,98.6187854441811,8.27517414093018,6.09541511535645,2.17975902557373
144,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2.2,98.6187854441811,8.32052898406982,6.09760046005249,2.22292852401733
145,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2.3,98.6187854441811,8.3796501159668,6.09978532791138,2.27986478805542
146,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2.4,98.6187854441811,8.43660354614258,6.10187339782715,2.33473014831543
147,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2.5,98.6187854441811,8.48264122009277,6.10405874252319,2.37858247756958
148,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2.6,98.6187854441811,8.52093410491943,6.10624361038208,2.41469049453735
149,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2.7,98.6187854441811,8.58041572570801,6.10842847824097,2.47198724746704
150,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2.8,98.6187854441811,8.61477947235107,6.1105170249939,2.50426244735718
151,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,2.9,98.6187854441811,8.6553897857666,6.11270189285278,2.54268789291382
152,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3,98.6187854441811,8.69847297668457,6.11488676071167,2.5835862159729
153,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3.1,98.6187854441811,8.74144649505615,6.11707210540771,2.62437438964844
154,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3.2,98.6187854441811,8.77004718780518,6.11916017532349,2.65088701248169
155,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3.3,98.6187854441811,8.79586029052734,6.12134504318237,2.67451524734497
156,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3.4,98.6187854441811,8.82109451293945,6.12353038787842,2.69756412506104
157,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3.5,98.6187854441811,8.84274291992188,6.1257152557373,2.71702766418457
158,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3.6,98.6187854441811,8.84026527404785,6.12780332565308,2.71246194839478
159,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3.7,98.6187854441811,8.83674049377441,6.12998819351196,2.70675230026245
160,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3.8,98.6187854441811,8.82953643798828,6.13175582885742,2.69778060913086
161,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,3.9,98.6187854441811,8.81267356872559,6.13394069671631,2.67873287200928
162,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4,98.6187854441811,8.78375816345215,6.13602924346924,2.64772891998291
163,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4.1,98.6187854441811,8.7519359588623,6.13821411132812,2.61372184753418
164,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4.2,98.6187854441811,8.73227214813232,6.14039897918701,2.59187316894531
165,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4.3,98.6187854441811,8.72055816650391,6.14258432388306,2.57797384262085
166,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4.4,98.6187854441811,8.70558071136475,6.14467239379883,2.56090831756592
167,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4.5,98.6187854441811,8.69781589508057,6.14685726165771,2.55095863342285
168,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4.6,98.6187854441811,8.69188117980957,6.14904260635376,2.54283857345581
169,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4.7,98.6187854441811,8.68939971923828,6.15122747421265,2.53817224502563
170,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4.8,98.6187854441811,8.68912506103516,6.15331554412842,2.53580951690674
171,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,4.9,98.6187854441811,8.69230937957764,6.1555004119873,2.53680896759033
172,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5,98.6187854441811,8.69241237640381,6.15768575668335,2.53472661972046
173,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.1,98.6187854441811,8.69184589385986,6.15987062454224,2.53197526931763
174,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.2,98.6187854441811,8.69403839111328,6.16195869445801,2.53207969665527
175,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.3,98.6187854441811,8.69443702697754,6.16414403915405,2.53029298782349
176,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.4,98.6187854441811,8.69174003601074,6.16632890701294,2.5254111289978
177,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.5,98.6187854441811,8.68321228027344,6.16851377487183,2.51469850540161
178,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.6,98.6187854441811,8.67398071289062,6.17018461227417,2.50379610061646
179,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.7,98.6187854441811,8.65335845947266,6.17236948013306,2.4809889793396
