X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1
67943.5435154596,224182.685855287,135,P02,perimeter_tin,,33.5,189.7938273585,5.50667142868042
67943.5009896253,224182.439498729,136,P02,perimeter_tin,,33.75,189.7938273585,5.48448324203491
67943.458463791,224182.193142172,137,P02,perimeter_tin,,34,189.7938273585,5.48599815368652
67943.4159379566,224181.946785614,138,P02,perimeter_tin,,34.25,189.7938273585,5.47853851318359
67943.3734121223,224181.700429057,139,P02,perimeter_tin,,34.5,189.7938273585,5.46214532852173
67943.315195312,224181.458017989,140,P02,perimeter_tin,,34.75,198.434948822922,5.45619297027588
67943.2361383705,224181.220847165,141,P02,perimeter_tin,,35,198.434948822922,5.46285390853882
67943.157081429,224180.98367634,142,P02,perimeter_tin,,35.25,198.434948822922,5.45302391052246
67943.0780244875,224180.746505516,143,P02,perimeter_tin,,35.5,198.434948822922,5.44219350814819
67942.998967546,224180.509334691,144,P02,perimeter_tin,,35.75,198.434948822922,5.43905544281006
67942.9199106045,224180.272163867,145,P02,perimeter_tin,,36,198.434948822922,5.44644212722778
67942.8340039184,224180.037568369,146,P02,perimeter_tin,,36.25,202.774969549007,5.43029689788818
67942.7372257132,224179.80706028,147,P02,perimeter_tin,,36.5,202.774969549007,5.42368268966675
67942.6404475079,224179.576552191,148,P02,perimeter_tin,,36.75,202.774969549007,5.42695331573486
67942.5436693027,224179.346044102,149,P02,perimeter_tin,,37,202.774969549007,5.42280054092407
67942.4468910975,224179.115536014,150,P02,perimeter_tin,,37.25,202.774969549007,5.42495155334473
67942.3501128923,224178.885027925,151,P02,perimeter_tin,,37.5,202.774969549007,5.42638921737671
67942.2533346871,224178.654519836,152,P02,perimeter_tin,,37.75,202.774969549007,5.42022228240967
67942.1565564819,224178.424011747,153,P02,perimeter_tin,,38,202.774969549007,5.42274379730225
67942.0597782766,224178.193503658,154,P02,perimeter_tin,,38.25,202.774969549007,5.42098903656006
67941.9439716513,224177.972549757,155,P02,perimeter_tin,,38.5,210.547571748972,5.41096830368042
67941.8169082551,224177.757247892,156,P02,perimeter_tin,,38.75,210.547571748972,5.40493011474609
67941.689844859,224177.541946026,157,P02,perimeter_tin,,39,210.547571748972,5.39939069747925
67941.5627814629,224177.32664416,158,P02,perimeter_tin,,39.25,210.547571748972,5.40309238433838
67941.4357180667,224177.111342295,159,P02,perimeter_tin,,39.5,210.547571748972,5.41317462921143
67941.3086546706,224176.896040429,160,P02,perimeter_tin,,39.75,210.547571748972,5.39514112472534
67941.1815912744,224176.680738563,161,P02,perimeter_tin,,40,210.547571748972,5.40684366226196
67941.0545278783,224176.465436698,162,P02,perimeter_tin,,40.25,210.547571748972,5.41160249710083
67940.9274644822,224176.250134832,163,P02,perimeter_tin,,40.5,210.547571748972,5.41292858123779
67940.7872888118,224176.043198564,164,P02,perimeter_tin,,40.75,214.527971655713,5.4176197052002
67940.6455866854,224175.837236171,165,P02,perimeter_tin,,41,214.527971655713,5.4194917678833
67940.503884559,224175.631273778,166,P02,perimeter_tin,,41.25,214.527971655713,5.42185258865356
67940.3621824325,224175.425311385,167,P02,perimeter_tin,,41.5,214.527971655713,5.42830038070679
67940.2204803061,224175.219348992,168,P02,perimeter_tin,,41.75,214.527971655713,5.42693948745728
67940.0787781797,224175.013386598,169,P02,perimeter_tin,,42,214.527971655713,5.43122100830078
67939.9370760532,224174.807424205,170,P02,perimeter_tin,,42.25,214.527971655713,5.42819929122925
67939.7953739268,224174.601461812,171,P02,perimeter_tin,,42.5,214.527971655713,5.43242073059082
67939.6536718003,224174.395499419,172,P02,perimeter_tin,,42.75,214.527971655713,5.43361711502075
67939.494097928,224174.204226892,173,P02,perimeter_tin,,43,224.309722801923,5.42665338516235
67939.3194637468,224174.02533334,174,P02,perimeter_tin,,43.25,224.309722801923,5.42573404312134
67939.1448295656,224173.846439789,175,P02,perimeter_tin,,43.5,224.309722801923,5.421959400177
67938.9701953844,224173.667546237,176,P02,perimeter_tin,,43.75,224.309722801923,5.41050243377686
67938.7955612033,224173.488652686,177,P02,perimeter_tin,,44,224.309722801923,5.41946744918823
67938.6209270221,224173.309759134,178,P02,perimeter_tin,,44.25,224.309722801923,5.38742733001709
67938.4462928409,224173.130865583,179,P02,perimeter_tin,,44.5,224.309722801923,5.30290699005127
67938.2716586597,224172.951972031,180,P02,perimeter_tin,,44.75,224.309722801923,5.17794418334961
67938.0970244785,224172.77307848,181,P02,perimeter_tin,,45,224.309722801923,5.13056135177612
