fid,profile_id,section_id,orientation,notes,distance,angle
1,P02_LONG,C-C',longitudinal,Main ridge profile,14.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,14.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,14.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,14.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,14.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,14.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,15.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,16.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,17,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,17.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,17.2,212.351971855461
